Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Hakeem Olajuwon\olajuha01,32,72,72,39.6,11.1,21.5,.517,0.0,0.2,.188,11.0,21.2,.520,.517,5.6,7.5,.756,2.4,8.4,10.8,3.5,1.8,3.4,3.3,3.5,27.8
2,Clyde Drexler\drexlcl01,32,35,34,37.1,7.6,15.0,.506,1.7,4.8,.357,5.9,10.2,.575,.563,4.5,5.5,.809,1.9,5.1,7.0,4.4,1.8,0.7,2.5,2.5,21.4
3,Otis Thorpe\thorpot01,32,36,35,33.0,5.7,10.2,.563,0.0,0.1,.000,5.7,10.1,.567,.563,1.9,3.5,.528,3.1,5.8,8.9,1.6,0.6,0.4,2.1,2.8,13.3
4,Robert Horry\horryro01,24,64,61,32.4,3.8,8.4,.447,1.3,3.5,.379,2.4,4.8,.497,.527,1.3,1.8,.761,1.3,3.8,5.1,3.4,1.5,1.2,1.9,2.5,10.2
5,Vernon Maxwell\maxweve01,29,64,54,31.8,4.8,12.1,.394,2.2,6.9,.324,2.5,5.3,.485,.486,1.5,2.3,.688,0.3,2.3,2.6,4.3,1.2,0.2,2.1,2.5,13.3
6,Kenny Smith\smithke01,29,81,81,25.1,3.5,7.3,.484,1.8,4.1,.429,1.8,3.2,.553,.604,1.6,1.8,.851,0.3,1.6,1.9,4.0,0.9,0.1,1.5,1.3,10.4
7,Mario Elie\eliema01,31,81,13,23.4,3.0,6.0,.499,1.0,2.5,.398,2.0,3.5,.570,.581,1.8,2.1,.842,0.6,1.8,2.4,2.3,0.8,0.1,1.3,2.0,8.8
8,Sam Cassell\cassesa01,25,82,1,23.0,3.1,7.2,.427,0.8,2.3,.330,2.3,4.9,.473,.480,2.6,3.1,.843,0.5,2.1,2.6,4.9,1.1,0.2,2.0,2.5,9.5
9,Carl Herrera\herreca01,28,61,26,21.8,2.8,5.4,.523,0.0,0.0,.000,2.8,5.3,.526,.523,1.2,1.9,.624,1.6,3.0,4.6,0.7,0.7,0.6,1.2,2.2,6.8
10,Chucky Brown\brownch01,26,41,14,19.9,2.6,4.2,.603,0.0,0.1,.333,2.5,4.2,.608,.606,0.9,1.5,.613,1.6,3.0,4.6,0.7,0.3,0.3,0.7,2.6,6.1
11,Pete Chilcutt\chilcpe01,26,68,17,19.8,2.1,4.8,.445,0.5,1.3,.407,1.6,3.6,.459,.498,0.5,0.6,.738,1.6,3.1,4.7,1.0,0.4,0.6,0.9,1.7,5.3
12,Charles Jones\jonesch01,37,3,0,12.0,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,.333,0.3,0.7,.500,0.7,1.7,2.3,0.0,0.0,0.3,0.0,2.7,1.0
13,Tim Breaux\breauti01,24,42,2,8.1,1.1,2.9,.372,0.1,0.6,.240,0.9,2.3,.406,.397,0.8,1.2,.653,0.4,0.4,0.8,0.4,0.3,0.1,0.4,0.6,3.0
14,Tracy Murray\murratr01,23,25,0,8.1,1.3,3.2,.400,0.8,1.8,.422,0.5,1.4,.371,.519,0.2,0.3,.625,0.1,0.8,0.9,0.2,0.3,0.1,0.6,1.2,3.5
15,Scott Brooks\brooksc01,29,28,0,6.6,1.3,2.3,.538,0.3,0.6,.471,1.0,1.7,.563,.600,0.6,0.8,.857,0.0,0.4,0.5,0.8,0.3,0.0,0.5,0.5,3.4
16,Žan Tabak\tabakza01,24,37,0,4.9,0.6,1.4,.453,0.0,0.0,.000,0.6,1.4,.462,.453,0.7,1.2,.614,0.6,0.9,1.5,0.1,0.1,0.2,0.5,1.0,2.0
17,Adrian Caldwell\caldwad01,28,7,0,4.3,0.1,0.6,.250,0.0,0.0,,0.1,0.6,.250,.250,0.4,0.9,.500,0.1,1.3,1.4,0.0,0.1,0.0,0.1,0.9,0.7
